CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-1	你这回答不是事实啊，没法类比，河男人全是是骗子，副男人全是及，这些是真实的吗，这是无脑黑了，然而印巴区，嗨任区这些地方犯罪率高那倒是真的	你这回答不是事实啊，没法类比，河南人全是是骗子，湖南人全是鸡，这些是真实的吗，这是无脑黑了，然而印巴区，黑人区这些地方犯罪率高那倒是真的	[(17, '南'), (25, '湖'), (26, '南'), (30, '鸡'), (53, '黑'), (54, '人')]
CHSD-2	反正我只是个普通人，我也没那个能力去反抗zbj，也不觉得郭楠能和国女形成统一战线，我只能做到不陷入消费主义，不结婚，不管有没有用，尽我所能不给别人吸血我的机会，我也懒得说什么驴全了，国内这形势大概率重复日含，没意思。	反正我只是个普通人，我也没那个能力去反抗zbj，也不觉得郭楠能和郭女形成统一战线，我只能做到不陷入消费主义，不结婚，不管有没有用，尽我所能不给别人吸血我的机会，我也懒得说什么女权了，国内这形势大概率重复日韩，没意思。	[(33, '郭'), (88, '女'), (89, '权'), (103, '韩')]
CHSD-3	给您举个例子吧。 比方说一个女型平权运动的领袖站出来，在公共媒体上说：“我认为现在的职场对于女型的压迫非常严重。	给您举个例子吧。 比方说一个女性平权运动的领袖站出来，在公共媒体上说：“我认为现在的职场对于女性的压迫非常严重。	[(16, '性'), (48, '性')]
CHSD-4	u1s1，中国女新在外受到歧视的概率是中国难型的五倍以上	u1s1，中国女性在外受到歧视的概率是中国男性的五倍以上	[(9, '性'), (22, '男'), (23, '性')]
CHSD-5	玩dota2那么久就跟人喷过两次，一次说的普通话，听不出口音，另一次就是栋被的。别人不骂我我肯定不会主动骂的，如果只是说个菜，啥比什么的我估计也会解释。栋被大神上去就说艹里吗，真的是我最恶新的一次了。	玩dota2那么久就跟人喷过两次，一次说的普通话，听不出口音，另一次就是东北的。别人不骂我我肯定不会主动骂的，如果只是说个菜，傻逼什么的我估计也会解释。东北大神上去就说艹尼玛，真的是我最恶心的一次了。	[(37, '东'), (38, '北'), (64, '傻'), (65, '逼'), (77, '东'), (78, '北'), (86, '尼'), (87, '玛'), (95, '心')]
CHSD-6	不仅男型受到的压迫不被正视，非小线率的驴新受到的压迫也没见他们正视啊。	不仅男性受到的压迫不被正视，非小仙女的女性受到的压迫也没见他们正视啊。	[(4, '性'), (17, '仙'), (18, '女'), (20, '女'), (21, '性')]
CHSD-7	我不歧视喔，我只是很讨厌嗨任而已。	我不歧视喔，我只是很讨厌黑人而已。	[(13, '黑'), (14, '人')]
CHSD-8	真没有，前两天那个新闻，女的坐高铁想把母乳放高铁冰柜被乘务员拒绝，然后拍成视频在那骂中国高铁[微笑]，下面还是能大圈，说这是栏全社会对率新的压迫，你还能说啥	真没有，前两天那个新闻，女的坐高铁想把母乳放高铁冰柜被乘务员拒绝，然后拍成视频在那骂中国高铁[微笑]，下面还是能打拳，说这是男权社会对女性的压迫，你还能说啥	[(57, '打'), (58, '拳'), (63, '男'), (64, '权'), (68, '女'), (69, '性')]
CHSD-9	1. ，你见到一个人如此，就问为什么这一类人都如此，这无益于你认识这个世界。	1. ，你见到一个人如此，就问为什么这一类人都如此，这无益于你认识这个世界。	[]
CHSD-10	河难的男人好像真的都特别恶性 我有个男通学就那里的 我靠 是我这辈子见过最不要脸的人	河南的男人好像真的都特别恶心 我有个男同学就那里的 我靠 是我这辈子见过最不要脸的人	[(2, '南'), (14, '心'), (20, '同')]
