toxic-rest-0	把这帮小自贤孙虫报	把这帮孝子贤孙冲爆	[(4, '孝'), (5, '子'), (8, '冲'), (9, '爆')]
toxic-rest-1	变她ma了个🐔8，拒绝天够从我做起	变她ma了个🐔8，拒绝舔狗从我做起	[(12, '舔'), (13, '狗')]
toxic-rest-2	我们小区也有个金发碧眼的小萝莉 家长们都挺喜欢的 因为真的长的超级可爱 活像洋娃娃 而且人家父母都是高知分子 但是对那个没爹的混血校嗨态度就不一样了😅	我们小区也有个金发碧眼的小萝莉 家长们都挺喜欢的 因为真的长的超级可爱 活像洋娃娃 而且人家父母都是高知分子 但是对那个没爹的混血小黑态度就不一样了😅	[(66, '小'), (67, '黑')]
toxic-rest-3	就算你反对了那么个法案，现实总会给你一些更致命的新发现元来这个法案只是结果，不是元因	就算你反对了那么个法案，现实总会给你一些更致命的新发现原来这个法案只是结果，不是原因	[(28, '原'), (41, '原')]
toxic-rest-4	确实现在的全是天生就是坏种它们贪婪傲慢懒惰暴食淫欲嫉妒暴怒七宗罪它们全部都犯了它们欲壑难填利令智昏是出胜不如的东西	确实现在的拳师天生就是坏种它们贪婪傲慢懒惰暴食淫欲嫉妒暴怒七宗罪它们全部都犯了它们欲壑难填利令智昏是畜生不如的东西	[(6, '拳'), (7, '师'), (51, '畜'), (52, '生')]
toxic-rest-5	其实我倒是对黑人和白人没啥感觉，但我绝对不会娶。首先和黑人之类的外国人在一起肯定会有很大的外在压力，但这些压力都顶住了，付出了那么多后为什么还会分手呢？1.真心相爱，性格不合？但早干嘛去了，非要滚过床单才这么想。2.接受不了黑人的习俗？黑人的习俗比之前承受的压力都可怕？那我更不能理解最初为什么要选黑人了。这些不应该在滚床单之前就做好调查的么？3.尝试一下黑人的滋味？这更可怕，放荡不羁爱自由？那相亲对象知晓详情紧急避险不是理所当然的么。4.被诱惑？钱？身份？还是可以在朋友圈炫耀外国男友，鹤立及群的优越感？发现黑人不能够满足需求果断分手，寻找下家。我知道我可能将这些女性看的过于阴暗。但我还是会这么想。这样的结婚对象你会要吗？反正我不会。	其实我倒是对黑人和白人没啥感觉，但我绝对不会娶。首先和黑人之类的外国人在一起肯定会有很大的外在压力，但这些压力都顶住了，付出了那么多后为什么还会分手呢？1.真心相爱，性格不合？但早干嘛去了，非要滚过床单才这么想。2.接受不了黑人的习俗？黑人的习俗比之前承受的压力都可怕？那我更不能理解最初为什么要选黑人了。这些不应该在滚床单之前就做好调查的么？3.尝试一下黑人的滋味？这更可怕，放荡不羁爱自由？那相亲对象知晓详情紧急避险不是理所当然的么。4.被诱惑？钱？身份？还是可以在朋友圈炫耀外国男友，鹤立鸡群的优越感？发现黑人不能够满足需求果断分手，寻找下家。我知道我可能将这些女性看的过于阴暗。但我还是会这么想。这样的结婚对象你会要吗？反正我不会。	[(248, '鸡')]
toxic-rest-6	希望早日实施黑去清楚计划	希望早日实施黑蛆清楚计划	[(8, '蛆')]
toxic-rest-7	看我直接化身贴吧暴躁老哥，直接喷死双表男	看我直接化身贴吧暴躁老哥，直接喷死双标男	[(19, '标')]
toxic-rest-8	都是境外分裂势力搞的鬼，你想想，西南的西藏，西北的新疆，再把东北和中元闹的人心不合，中国还剩啥了？一些不明就里的傻蛋还跟着起哄，还有某些东南假洋贵自媒体带节奏，没有媒体带节奏怎么能形成气候？就像游行也好，抵制也好，没有带头的怎么能发动起来？愚民到啥时候都是愚民👍️👍️👍️	都是境外分裂势力搞的鬼，你想想，西南的西藏，西北的新疆，再把东北和中原闹的人心不合，中国还剩啥了？一些不明就里的傻蛋还跟着起哄，还有某些东南假洋鬼子媒体带节奏，没有媒体带节奏怎么能形成气候？就像游行也好，抵制也好，没有带头的怎么能发动起来？愚民到啥时候都是愚民👍️👍️👍️	[(35, '原'), (73, '鬼'), (74, '子')]
toxic-rest-9	其实没必要歧视，只要跟黑难换国籍就行了	其实没必要歧视，只要跟黑男换国籍就行了	[(13, '男')]
toxic-rest-10	其实韩国人。。。娘抛。。。😄😄😄	其实韩国人。。。娘炮。。。😄😄😄	[(10, '炮')]
toxic-rest-11	救命，好恶讯惹	救命，好恶熏惹	[(6, '熏')]
toxic-rest-12	我国那么多老艺术家离世的时候尼小自们也没这么悲伤过	我国那么多老艺术家离世的时候尼孝子们也没这么悲伤过	[(16, '孝'), (17, '子')]
